amfi_code,scheme_name,fund_house,category,sub_category,benchmark_used,cagr_pct,std_dev_ann_pct,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown_pct,var_95_daily_pct,cvar_95_daily_pct,expense_ratio_pct
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,NIFTY100,24.77,13.74,1.21,2.14,23.2,-0.03,-15.01,-1.28,-1.64,1.54
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,NIFTY100,20.68,13.94,0.95,1.61,19.87,-0.03,-11.8,-1.35,-1.73,0.66
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,BSE_SMALLCAP,31.1,25.14,0.95,1.68,31.51,-0.05,-28.71,-2.45,-3.06,1.43
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,BSE_SMALLCAP,1.98,24.95,-0.06,-0.09,4.78,0.01,-52.57,-2.69,-3.24,0.72
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,CRISIL_GILT,5.67,3.97,-0.23,-0.38,5.61,-0.0,-4.33,-0.39,-0.5,0.77
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,NIFTY100,2.54,14.55,-0.2,-0.35,3.75,-0.06,-24.73,-1.44,-1.81,1.55
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,NIFTY100,18.28,14.67,0.78,1.33,17.73,0.05,-15.2,-1.46,-1.83,0.92
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,NIFTY_MIDCAP150,28.9,18.94,1.09,1.83,26.33,0.03,-16.22,-1.9,-2.35,1.38
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,NIFTY_MIDCAP150,10.87,18.35,0.3,0.51,10.34,0.06,-21.12,-1.84,-2.31,0.78
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,CRISIL_LIQUID,4.29,3.91,-0.57,-0.94,5.0,-0.11,-4.31,-0.38,-0.5,0.56
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,NIFTY100,18.05,13.88,0.8,1.34,17.7,-0.04,-13.9,-1.36,-1.75,1.42
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,NIFTY100,22.37,14.36,1.03,1.81,21.19,0.02,-12.59,-1.37,-1.75,0.8
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,NIFTY_MIDCAP150,31.48,19.29,1.18,2.03,29.31,-0.0,-18.19,-1.89,-2.43,1.36
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,NIFTY500,16.42,15.23,0.65,1.1,15.21,0.05,-19.83,-1.44,-1.94,1.41
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,CRISIL_LIQUID,6.97,0.49,0.5,1.05,6.37,0.06,-0.1,-0.02,-0.04,0.74
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,NIFTY100,23.09,14.15,1.08,1.85,21.83,-0.01,-17.41,-1.4,-1.76,1.51
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,NIFTY100,15.65,14.0,0.65,1.15,15.64,-0.04,-18.63,-1.34,-1.66,0.72
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,BSE_SMALLCAP,15.74,25.24,0.45,0.75,17.82,0.0,-23.34,-2.54,-3.23,1.53
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,NIFTY50,15.34,12.98,0.66,1.14,15.16,-0.01,-11.65,-1.26,-1.62,0.89
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,CRISIL_GILT,5.12,3.99,-0.36,-0.61,5.18,-0.01,-8.32,-0.38,-0.49,0.55
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,NIFTY100,13.02,13.46,0.49,0.86,13.04,0.04,-17.57,-1.31,-1.64,1.59
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,NIFTY_MIDCAP150,6.45,17.89,0.08,0.12,8.85,-0.04,-24.0,-1.82,-2.27,1.56
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,NIFTY500,29.65,15.89,1.31,2.36,27.79,-0.02,-12.97,-1.45,-1.84,1.45
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,CRISIL_LIQUID,6.66,0.51,-0.09,-0.19,6.3,0.02,-0.12,-0.03,-0.04,0.6
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,NIFTY100,6.13,13.95,0.03,0.05,6.9,0.01,-14.4,-1.37,-1.73,1.64
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,NIFTY100,7.6,13.98,0.13,0.22,8.23,0.03,-21.75,-1.42,-1.75,0.75
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,NIFTY_MIDCAP150,27.08,19.41,1.0,1.7,26.93,-0.04,-20.96,-1.85,-2.43,1.38
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,BSE_SMALLCAP,1.47,25.07,-0.08,-0.13,5.79,-0.05,-51.68,-2.62,-3.17,1.38
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,NIFTY100,22.6,14.57,1.03,1.8,21.4,0.02,-11.29,-1.33,-1.74,1.6
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,BSE_SMALLCAP,7.64,25.8,0.16,0.28,11.97,-0.05,-35.45,-2.6,-3.25,1.53
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,CRISIL_LIQUID,6.27,0.51,-0.82,-1.68,6.28,-0.03,-0.16,-0.03,-0.04,0.79
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,NIFTY50,17.52,12.84,0.82,1.44,16.99,-0.0,-10.86,-1.26,-1.55,1.57
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,NIFTY_MIDCAP150,1.13,18.13,-0.21,-0.35,4.15,-0.05,-28.0,-1.92,-2.33,1.51
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,NIFTY500,16.19,15.76,0.62,1.09,16.58,-0.01,-21.54,-1.52,-1.94,1.64
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,NIFTY100,29.71,14.19,1.45,2.39,26.98,0.02,-11.27,-1.36,-1.76,1.46
