amfi_code,scheme_name,fund_house,category,sub_category,cagr_pct,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,fund_score
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,31.48,1.18,29.31,-0.0,-18.19,1.36,85.3
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,29.71,1.45,26.98,0.02,-11.27,1.46,84.5
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,29.65,1.31,27.79,-0.02,-12.97,1.45,83.2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,28.9,1.09,26.33,0.03,-16.22,1.38,77.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,30.64,1.23,27.51,0.04,-16.4,1.6,76.2
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,31.1,0.95,31.51,-0.05,-28.71,1.43,75.5
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,22.37,1.03,21.19,0.02,-12.59,0.8,72.8
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,27.08,1.0,26.93,-0.04,-20.96,1.38,72.0
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,30.97,0.95,29.35,0.03,-31.17,1.52,71.9
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,24.77,1.21,23.2,-0.03,-15.01,1.54,71.8
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,20.68,0.95,19.87,-0.03,-11.8,0.66,71.4
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,28.38,1.13,26.91,-0.01,-17.25,1.61,69.0
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,23.09,1.08,21.83,-0.01,-17.41,1.51,68.8
