amfi_code,hhi,concentration
100016,1805.8807999999997,Moderate
100033,2276.4744,Moderate
101206,1800.4225,Moderate
101207,2227.2651,Moderate
102885,1807.1201999999998,Moderate
102886,1240.2024000000001,Diversified
102887,2513.8255,Concentrated
118632,2072.5894,Moderate
118633,2212.0032,Moderate
118634,1602.9924,Moderate
118635,2374.9677,Moderate
119092,2967.6908999999996,Concentrated
119093,1842.332,Moderate
119094,1751.0025,Moderate
119095,1595.8229000000001,Moderate
119551,1424.9103999999998,Diversified
119552,2275.0834999999997,Moderate
119598,1880.8485,Moderate
119599,2323.612,Moderate
120503,1821.6750000000002,Moderate
120504,2212.1303,Moderate
120505,2386.9504,Moderate
120506,2314.6434,Moderate
120841,2158.9314999999997,Moderate
120842,1620.6189,Moderate
120843,1362.0616,Diversified
125497,1724.1088,Moderate
125498,2531.55,Concentrated
148567,2012.4815,Moderate
148568,2180.8585,Moderate
148569,2549.9193999999998,Concentrated
149322,1826.9533000000001,Moderate
149323,2410.7663999999995,Moderate
149324,1887.0082,Moderate
