amfi_code,var_95_daily_pct,cvar_95_daily_pct,var_95_annualised_pct
119599,-2.686,-3.238,-42.638
119095,-2.619,-3.167,-41.573
101207,-2.602,-3.246,-41.307
118634,-2.544,-3.23,-40.382
119598,-2.451,-3.06,-38.904
149324,-2.348,-3.104,-37.278
102886,-1.922,-2.325,-30.511
100033,-1.903,-2.346,-30.215
120505,-1.889,-2.434,-29.99
119094,-1.848,-2.426,-29.337
125498,-1.837,-2.309,-29.154
120842,-1.822,-2.272,-28.921
149323,-1.788,-2.261,-28.387
148569,-1.712,-2.133,-27.174
102887,-1.523,-1.941,-24.179
148568,-1.471,-1.876,-23.354
125497,-1.459,-1.831,-23.164
120843,-1.451,-1.838,-23.031
149322,-1.447,-1.84,-22.977
120506,-1.439,-1.94,-22.841
100016,-1.436,-1.806,-22.802
119093,-1.423,-1.749,-22.582
118632,-1.395,-1.762,-22.151
119092,-1.375,-1.733,-21.827
120504,-1.373,-1.749,-21.793
148567,-1.356,-1.762,-21.525
120503,-1.355,-1.745,-21.51
119552,-1.35,-1.734,-21.432
118633,-1.344,-1.663,-21.339
101206,-1.328,-1.744,-21.084
120841,-1.314,-1.636,-20.862
119551,-1.285,-1.64,-20.393
102885,-1.261,-1.549,-20.022
118635,-1.255,-1.618,-19.928
119120,-0.394,-0.501,-6.252
118636,-0.38,-0.492,-6.039
100025,-0.379,-0.499,-6.022
120844,-0.028,-0.041,-0.452
101208,-0.027,-0.042,-0.426
120507,-0.022,-0.037,-0.352
